time/episodes,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate
4,3714,1,4000,0.9802,-3424.25,1000.0,,,
8,3758,2,8000,0.9603999999999999,-3279.875,1000.0,,,
12,3370,3,12000,0.9406,-3151.3333333333335,1000.0,4.3231306076049805,124,5e-05
16,3109,5,16000,0.9208,-3184.0,1000.0,1.3712464570999146,374,5e-05
20,2964,6,20000,0.9009999999999999,-3058.2,1000.0,0.9513261914253235,624,5e-05
24,2880,8,24000,0.8811999999999999,-3020.0416666666665,1000.0,4.602081775665283,874,5e-05
28,2824,9,28000,0.8613999999999999,-3096.535714285714,1000.0,4.443516254425049,1124,5e-05
32,2774,11,32000,0.8415999999999999,-3115.09375,1000.0,2.9689769744873047,1374,5e-05
36,2744,13,36000,0.8217999999999999,-3139.25,1000.0,3.9510586261749268,1624,5e-05
40,2710,14,40000,0.8019999999999998,-3101.825,1000.0,4.8328142166137695,1874,5e-05
44,2692,16,44000,0.7821999999999998,-3120.068181818182,1000.0,2.576559543609619,2124,5e-05
48,2672,17,48000,0.7623999999999997,-3098.9791666666665,1000.0,1.7494163513183594,2374,5e-05
52,2659,19,52000,0.7425999999999997,-3160.1923076923076,1000.0,2.0492196083068848,2624,5e-05
56,2650,21,56000,0.7227999999999998,-3148.4821428571427,1000.0,2.0601468086242676,2874,5e-05
60,2642,22,60000,0.7029999999999998,-3143.95,1000.0,2.1747350692749023,3124,5e-05
64,2633,24,64000,0.6831999999999998,-3160.875,1000.0,1.7780616283416748,3374,5e-05
68,2623,25,68000,0.6633999999999998,-3196.3970588235293,1000.0,4.689888000488281,3624,5e-05
72,2613,27,72000,0.6436000000000002,-3186.8194444444443,1000.0,2.3166251182556152,3874,5e-05
76,2598,29,76000,0.6238000000000002,-3177.5263157894738,1000.0,2.3723151683807373,4124,5e-05
80,2586,30,80000,0.6040000000000002,-3164.225,1000.0,8.60643482208252,4374,5e-05
84,2577,32,84000,0.5842000000000002,-3143.6190476190477,1000.0,1.2214651107788086,4624,5e-05
88,2566,34,88000,0.5644000000000002,-3147.25,1000.0,4.142384052276611,4874,5e-05
92,2553,36,92000,0.5446000000000002,-3116.1521739130435,1000.0,3.7165796756744385,5124,5e-05
96,2544,37,96000,0.5248000000000002,-3107.46875,1000.0,1.9896308183670044,5374,5e-05
100,2527,39,100000,0.5050000000000001,-3065.69,1000.0,1.8269613981246948,5624,5e-05
104,2513,41,104000,0.4852000000000001,-3022.04,1000.0,4.958209037780762,5874,5e-05
108,2503,43,108000,0.46540000000000015,-2975.04,1000.0,5.083102703094482,6124,5e-05
112,2494,44,112000,0.4456000000000001,-2933.37,1000.0,5.544765472412109,6374,5e-05
116,2485,46,116000,0.42580000000000007,-2887.75,1000.0,2.303668975830078,6624,5e-05
120,2477,48,120000,0.40600000000000014,-2862.64,1000.0,2.7293903827667236,6874,5e-05
124,2467,50,124000,0.3862000000000001,-2824.97,1000.0,4.426147937774658,7124,5e-05
128,2456,52,128000,0.36640000000000006,-2796.37,1000.0,5.182670593261719,7374,5e-05
132,2450,53,132000,0.3465999999999999,-2722.04,1000.0,2.249034881591797,7624,5e-05
136,2444,55,136000,0.3268,-2661.44,1000.0,2.4826650619506836,7874,5e-05
140,2437,57,140000,0.30700000000000005,-2580.43,1000.0,4.608982563018799,8124,5e-05
144,2431,59,144000,0.2871999999999999,-2482.48,1000.0,3.523752212524414,8374,5e-05
148,2423,61,148000,0.26739999999999997,-2445.74,1000.0,2.690554141998291,8624,5e-05
152,2415,62,152000,0.24759999999999993,-2342.02,1000.0,1.1187810897827148,8874,5e-05
156,2412,64,156000,0.2277999999999999,-2270.21,1000.0,2.269627332687378,9124,5e-05
160,2405,66,160000,0.20799999999999985,-2178.87,1000.0,0.8934774398803711,9374,5e-05
164,2402,68,164000,0.18819999999999992,-2083.64,1000.0,1.71083402633667,9624,5e-05
168,2398,70,168000,0.16839999999999988,-1944.58,1000.0,1.5845744609832764,9874,5e-05
172,2394,71,172000,0.1486000000000004,-1874.82,1000.0,1.4303944110870361,10124,5e-05
176,2390,73,176000,0.12880000000000047,-1777.47,1000.0,1.4947996139526367,10374,5e-05
