time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
4,8192,9.06,8.448,1,1925,,,,,,,,,,,,
90,16384,12.92,20.537999999999997,2,181,0.3143798828125,0.18,-0.040606492197548506,-1.596227018814534,-0.0015759468078613281,0.0003,0.015607061,82.09400939941406,10,818.8869850546122,,
190,24576,13.96,40.422000000000004,3,129,0.23612060546875,0.18,-0.03331082292061183,-1.562548325303942,-0.05581831932067871,0.0003,0.013287686,104.67037200927734,20,552.2309736847877,,
299,32768,22.35,65.64699999999999,4,109,0.20858154296875,0.18,-0.02908925517622265,-1.5097662402316927,0.007996320724487305,0.0003,0.01259139,127.60773468017578,30,455.5395494878292,,
419,40960,40.92,105.76399999999998,5,97,0.14937744140625,0.18,-0.019744002577863285,-1.4599576168693602,0.029858052730560303,0.0003,0.010217884,34.03261947631836,40,481.2699715092778,,
525,49152,50.12,119.366,6,93,0.14669189453125,0.18,-0.017624242930469335,-1.4144619460217656,0.1757550835609436,0.0003,0.009029949,79.84913635253906,50,451.6485515370965,,
632,57344,55.61,135.015,7,90,0.197265625,0.18,-0.012245975945552346,-1.370928223617375,0.2743571400642395,0.0003,0.013878401,220.36940002441406,60,511.2873907573521,,
737,65536,68.29,155.783,8,88,0.1372314453125,0.18,-0.015219770001203869,-1.3282770881429316,0.3588417172431946,0.0003,0.009694896,59.47072219848633,70,584.0368160218001,,
834,73728,83.35,197.22500000000002,9,88,0.159619140625,0.18,-0.00937587228800112,-1.2907274791039527,0.43371641635894775,0.0003,0.013906552,33.966400146484375,80,615.5085683494806,,
922,81920,75.85,166.197,10,88,0.1773681640625,0.18,-0.008101083037763602,-1.2721599768847227,0.42703670263290405,0.0003,0.009886175,49.86210250854492,90,671.5003124557436,,
