time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_fraction,train/learning_rate,train/loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/n_updates
8192,-2869.5,1000.0,2281,3,1,,,,,,,,,,
16384,-2796.8125,1000.0,1395,11,2,0.00029730796813964844,-1.6038832541555166,4005.3759305000303,0.07921142578125,0.0003,1036.7822265625,0.008295817,0.18,-0.009770038667556945,10
24576,-2767.5,1000.0,1239,19,3,0.13626110553741455,-1.5980441560037435,2504.4462146759033,0.14010009765625,0.0003,622.4083251953125,0.008602053,0.18,-0.01528026979904098,20
32768,-2838.21875,1000.0,1171,27,4,0.13519883155822754,-1.587665745615959,2848.8759013652802,0.1720703125,0.0003,1389.1268310546875,0.009711633,0.18,-0.015155704479911946,30
40960,-2841.15,1000.0,1139,35,5,0.39823758602142334,-1.5906492100097238,2265.412944698334,0.1267333984375,0.0003,1066.0416259765625,0.009255845,0.18,-0.014199938556885172,40
49152,-2834.4166666666665,1000.0,1116,44,6,0.43249082565307617,-1.587493260204792,2850.8607006549837,0.123046875,0.0003,729.80029296875,0.009455263,0.18,-0.015013873824864276,50
57344,-2826.4285714285716,1000.0,1096,52,7,0.454135537147522,-1.5856898647733033,1701.0996250629426,0.14781494140625,0.0003,661.4159545898438,0.010559389,0.18,-0.015520360380469356,60
65536,-2830.6875,1000.0,1079,60,8,0.3283558487892151,-1.587134209368378,2367.239193677902,0.16234130859375,0.0003,1086.7523193359375,0.010255897,0.18,-0.01730479613506759,70
73728,-2848.527777777778,1000.0,1069,68,9,0.5749321579933167,-1.5922881182283164,1863.711341714859,0.180126953125,0.0003,703.0214233398438,0.0110716345,0.18,-0.01826939209831835,80
81920,-2814.9875,1000.0,1059,77,10,0.6102903783321381,-1.584452844504267,2175.6273815631866,0.13914794921875,0.0003,1709.87744140625,0.010157449,0.18,-0.015645878458781227,90
90112,-2786.306818181818,1000.0,1050,85,11,0.581535279750824,-1.5730610385537147,2016.8810746192933,0.1696533203125,0.0003,739.5387573242188,0.010353497,0.18,-0.017327478361403338,100
98304,-2784.9583333333335,1000.0,1042,94,12,0.7165075242519379,-1.5723116875626146,2094.162024927139,0.1682861328125,0.0003,766.3554077148438,0.01041068,0.18,-0.016567460932128596,110
106496,-2800.81,1000.0,1036,102,13,0.6677598655223846,-1.5729886008426548,1841.6569842338563,0.1143798828125,0.0003,926.9420776367188,0.008344965,0.18,-0.013607965471237549,120
114688,-2803.84,1000.0,1031,111,14,0.8267985582351685,-1.5694160616956652,3277.170663356781,0.14638671875,0.0003,3415.0771484375,0.010325195,0.18,-0.017205873541752226,130
