#{"t_start": 1761602797.7655416, "env_id": "None"}
r,l,t
487.25,1000,7.002862
366.5,1000,13.156265
248.9,1000,19.352713
-306.65,1000,25.472574
1473.25,1000,31.658171
1959.95,1000,37.859915
2324.05,1000,44.07074
2610.2,1000,50.253687
2401.1,1000,56.492028
3133.25,1000,62.684873
2597.05,1000,68.943618
2753.7,1000,75.164192
854.35,1000,81.461691
-365.7,1000,87.637877
-666.25,1000,93.678786
-683.6,1000,99.629964
-205.3,1000,105.561893
-530.7,1000,111.432369
-255.3,1000,117.253034
-480.65,1000,123.085507
-390.65,1000,128.735708
-872.35,1000,134.384977
-100.1,1000,139.841757
-197.9,1000,145.321677
-444.95,1000,150.613174
-460.8,1000,155.958401
-639.55,1000,161.22989
-457.15,1000,166.507921
-668.55,1000,171.708734
-378.95,1000,176.906631
-566.8,1000,182.04699
37.95,1000,187.304974
-336.2,1000,192.48509
-114.7,1000,197.768351
160.2,1000,203.013156
-63.7,1000,208.193763
55.85,1000,213.318168
4659.8,1000,218.499776
5745.0,1000,223.65977
5242.55,1000,228.858566
5700.95,1000,234.143769
5628.9,1000,239.630904
5302.3,1000,245.074257
5426.85,1000,250.662771
873.25,1000,256.341489
349.5,1000,262.040257
306.2,1000,267.818888
-6.3,1000,273.748527
180.45,1000,279.651477
314.05,1000,285.607751
279.05,1000,291.505887
231.75,1000,297.463687
580.95,1000,303.388638
195.6,1000,309.284898
329.35,1000,315.21359
435.3,1000,321.075662
235.2,1000,326.888201
340.2,1000,332.551316
139.15,1000,338.25609
140.1,1000,343.941914
222.65,1000,349.684949
525.45,1000,355.345445
25.2,1000,361.100387
329.35,1000,366.911334
135.15,1000,372.748317
127.35,1000,378.731722
324.4,1000,384.584494
532.7,1000,390.516592
225.3,1000,396.342078
397.3,1000,402.250386
230.25,1000,408.144028
418.75,1000,414.05594
417.8,1000,419.965504
434.35,1000,425.826044
519.55,1000,431.693946
229.5,1000,437.468428
227.6,1000,443.245247
335.25,1000,448.897469
469.95,1000,454.373653
430.35,1000,459.979846
430.35,1000,465.596162
240.15,1000,471.045876
422.75,1000,476.478329
430.35,1000,482.064281
740.4,1000,487.695047
230.25,1000,493.272804
225.3,1000,498.87655
420.45,1000,504.44891
528.5,1000,509.82795
220.35,1000,515.2025
430.35,1000,520.613074
526.6,1000,526.008496
5852.2,1000,531.391242
5347.4,1000,536.771384
1495.05,1000,542.109764
368.9,1000,547.515156
233.65,1000,552.936494
447.95,1000,558.427817
335.25,1000,563.915314
335.25,1000,569.415031
233.3,1000,574.955039
618.85,1000,580.576184
320.8,1000,586.248272
330.3,1000,592.0184
425.4,1000,597.822687
125.45,1000,603.790833
135.15,1000,609.625332
326.5,1000,615.473439
235.2,1000,621.259818
335.25,1000,626.912292
135.15,1000,632.532147
230.25,1000,638.108926
330.3,1000,643.710023
284.35,1000,649.245182
119.35,1000,654.765955
525.45,1000,660.203246
420.45,1000,665.581915
135.15,1000,670.832504
425.4,1000,676.248781
435.3,1000,681.643514
352.85,1000,686.883164
184.3,1000,692.06157
330.3,1000,697.327862
30.15,1000,702.588254
430.35,1000,707.904759
120.3,1000,713.183041
740.4,1000,718.610113
335.25,1000,723.966526
335.25,1000,729.356883
639.4,1000,734.691974
135.15,1000,740.05162
425.4,1000,745.337629
420.45,1000,750.663882
325.35,1000,755.951104
230.25,1000,761.273148
335.25,1000,766.540699
235.2,1000,771.728304
187.4,1000,776.963481
629.5,1000,782.210932
435.3,1000,787.458745
535.35,1000,792.755619
440.25,1000,798.031186
5926.8,1000,803.332983
6299.25,1000,808.522413
6243.8,1000,813.620321
1031.95,1000,818.715835
430.35,1000,823.978537
535.35,1000,829.175221
530.4,1000,834.468679
537.45,1000,839.933469
420.45,1000,845.593037
498.65,1000,851.246316
416.5,1000,857.115937
619.6,1000,862.928621
531.55,1000,868.853915
209.55,1000,874.690026
-60.0,1000,881.25853
